entry_id,line,section,subsection,group,venue_label,title,paper_url,code_labeled_url,primary_key,normalized_title,code_label_points_to_paper,verification
R0001,146,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,NeurIPS 2020,Language Models are Few-Shot Learners,https://arxiv.org/abs/2005.14165,,arxiv:2005.14165,languagemodelsarefewshotlearners,False,catalog_only
R0002,147,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,NeurIPS 2022,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,https://arxiv.org/abs/2201.11903,,arxiv:2201.11903,chainofthoughtpromptingelicitsreasoninginlargelanguagemodels,False,catalog_only
R0003,148,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,NeurIPS 2022,Large Language Models are Zero-Shot Reasoners,https://arxiv.org/abs/2205.11916,,arxiv:2205.11916,largelanguagemodelsarezeroshotreasoners,False,catalog_only
R0004,149,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,ICLR 2023,Self-Consistency Improves Chain of Thought Reasoning in Language Models,https://arxiv.org/abs/2203.11171,,arxiv:2203.11171,selfconsistencyimproveschainofthoughtreasoninginlanguagemodels,False,catalog_only
R0005,150,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,ICLR 2023,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,https://arxiv.org/abs/2205.10625,,arxiv:2205.10625,leasttomostpromptingenablescomplexreasoninginlargelanguagemodels,False,catalog_only
R0006,151,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,ICLR 2023,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/abs/2210.03629,https://github.com/ysymyth/ReAct,arxiv:2210.03629,reactsynergizingreasoningandactinginlanguagemodels,False,catalog_only
R0007,152,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,ICML 2023,PAL: Program-aided Language Models,https://arxiv.org/abs/2211.10435,https://github.com/reasoning-machines/pal,arxiv:2211.10435,palprogramaidedlanguagemodels,False,catalog_only
R0008,153,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,TMLR 2023,Program of Thoughts Prompting: Disentangling Computation from Reasoning for Numerical Reasoning Tasks,https://arxiv.org/abs/2211.12588,https://github.com/TIGER-AI-Lab/Program-of-Thoughts,arxiv:2211.12588,programofthoughtspromptingdisentanglingcomputationfromreasoningfornumericalreasoningtasks,False,catalog_only
R0009,154,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,NeurIPS 2023,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,https://arxiv.org/abs/2305.10601,https://github.com/princeton-nlp/tree-of-thought-llm,arxiv:2305.10601,treeofthoughtsdeliberateproblemsolvingwithlargelanguagemodels,False,catalog_only
R0010,155,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,CoRL 2022,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",https://arxiv.org/abs/2204.01691,https://github.com/google-research/google-research/tree/master/saycan,arxiv:2204.01691,doasicannotasisaygroundinglanguageinroboticaffordances,False,catalog_only
R0011,156,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,NeurIPS 2022,Training Language Models to Follow Instructions with Human Feedback,https://arxiv.org/abs/2203.02155,,arxiv:2203.02155,traininglanguagemodelstofollowinstructionswithhumanfeedback,False,catalog_only
R0012,157,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,ICLR 2023,Large Language Models Are Human-Level Prompt Engineers,https://arxiv.org/abs/2211.01910,https://github.com/keirp/automatic_prompt_engineer,arxiv:2211.01910,largelanguagemodelsarehumanlevelpromptengineers,False,catalog_only
R0013,158,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,EMNLP 2023,Automatic Prompt Optimization with “Gradient Descent” and Beam Search,https://arxiv.org/abs/2305.03495,,arxiv:2305.03495,automaticpromptoptimizationwithgradientdescentandbeamsearch,False,catalog_only
R0014,159,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,arXiv 2021,Show Your Work: Scratchpads for Intermediate Computation with Language Models,https://arxiv.org/abs/2112.00114,,arxiv:2112.00114,showyourworkscratchpadsforintermediatecomputationwithlanguagemodels,False,catalog_only
R0015,160,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,EMNLP-IJCNLP 2019,Language Models as Knowledge Bases?,https://arxiv.org/abs/1909.01066,,arxiv:1909.01066,languagemodelsasknowledgebases,False,catalog_only
R0016,161,Evolution: From Prompting to Runtime,Stage I — Prompt Engineering (2020–2023),,NeurIPS 2023,"Describe, Explain, Plan and Select: Interactive Planning with LLMs Enables Open-World Multi-Task Agents",https://arxiv.org/abs/2302.01560,https://github.com/CraftJarvis/MC-Planner,arxiv:2302.01560,describeexplainplanandselectinteractiveplanningwithllmsenablesopenworldmultitaskagents,False,catalog_only
R0017,165,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,NeurIPS 2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,https://arxiv.org/abs/2005.11401,,arxiv:2005.11401,retrievalaugmentedgenerationforknowledgeintensivenlptasks,False,catalog_only
R0018,166,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,ACL 2023,Precise Zero-Shot Dense Retrieval without Relevance Labels,https://arxiv.org/abs/2212.10496,,arxiv:2212.10496,precisezeroshotdenseretrievalwithoutrelevancelabels,False,catalog_only
R0019,167,Evolution: From Prompting to Runtime,Stage II — Context Engineering (2023–2025),,ICLR 2024,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,https://arxiv.org/abs/2401.18059,https://github.com/parthsarthi03/raptor,arxiv:2401.18059,raptorrecursiveabstractiveprocessingfortreeorganizedretrieval,False,catalog_only
